08-08-25 07:59,ESRGAN,Enhanced Super-Resolution Generative Adversarial Network,GAN-based Super-Resolution,RRDBNet (Residual-in-Residual Dense Blocks),2,3-channel RGB,3-channel RGB,PyTorch,39.6196,32.6782,33.111,37.5077,40.5774,31.9476,30.9647,34.3373,35.8761,35.6739,28.8391,36.5949,38.2524,36.5696,36.0843,37.3298,36.6455,41.3458,43.0738,36.0287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-08-25 08:42,ESRGAN,Enhanced Super-Resolution Generative Adversarial Network,GAN-based Super-Resolution,RRDBNet (Residual-in-Residual Dense Blocks),2,3-channel RGB,3-channel RGB,PyTorch,39.6196,0.9823,2.2716,32.6782,0.8914,3.3829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-08-25 09:16,ESRGAN,Enhanced Super-Resolution Generative Adversarial Network,GAN-based Super-Resolution,RRDBNet (Residual-in-Residual Dense Blocks),2,3-channel RGB,3-channel RGB,PyTorch,39.6196,0.9823,2.2716,32.6782,0.8914,3.3829,33.111,0.878,1.9191,37.5077,0.963,2.1757,40.5774,0.975,3.8895,31.9476,0.9216,2.667,30.9647,0.8418,3.7534,34.3373,0.9057,1.3412,35.8761,0.9558,4.793,35.6739,0.9386,3.1953,28.8391,0.8757,5.0941,36.5949,0.9381,3.9533,38.2524,0.9351,8.0955,36.5696,0.899,8.7644,36.0843,0.9244,1.0732,37.3298,0.9477,1.3274,36.6455,0.9381,1.5144,41.3458,0.9692,1.9191,43.0738,0.9855,1.4084,36.0287,0.9401,2.9912
08-08-25 10:17,FSRCNN,Fast Super-Resolution Convolutional Neural Network,CNN-based Super-Resolution,FSRCNN (deconvolutional upsampling with shrinking and expanding layers),2,3-channel RGB,3-channel RGB,PyTorch,25.903,0.4856,39.2057,26.7893,0.6184,30.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-08-25 10:26,SRCNN,Super-Resolution Convolutional Neural Network,CNN-based Super-Resolution,"SRCNN (three-layer convolutional network; patch extraction, non-linear mapping, reconstruction)",2,1-channel grayscale (Y) PNG,1-channel grayscale (Y) PNG,PyTorch,42.5518,0.9855,2.9319,38.7818,0.9627,3.1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-08-25 06:44,SinSR,Diffusion-Based Image Super-Resolution in a Single Step,Diffusion-based Super-Resolution,One-step distilled student network with deterministic sampling and consistency-preserving loss,4,3-channel RGB,3-channel RGB,PyTorch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-08-25 06:53,SinSR,Diffusion-Based Image Super-Resolution in a Single Step,Diffusion-based Super-Resolution,One-step distilled student network with deterministic sampling and consistency-preserving loss,4,3-channel RGB,3-channel RGB,PyTorch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log Timestamp: 2025-08-13 07:20:39.880289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,SinSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input File,Band,PSNR,SSIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
